Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews
29.102679369827154,Female,Single,Self Employeed,No Income,Graduate,2.9340785448647413,13.063438081165819,77.5918447833681,560090.7631949221,Food delivery apps, Walk-in,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Disagree,Agree,Neutral,Neutral,Yes,Important,Very Important,Very Important,Very Important,Moderately Important,Slightly Important,Very Important,Very Important,Yes,Nil
21.94030656542724,Female,Single,Employee,More than 50000,Graduate,3.0711748172334943,13.01886020812284,77.53612516296225,560095.0252814173,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,Agree,Disagree,Yes,Important,Slightly Important,Moderately Important,Very Important,Very Important,Important,Important,Important,Yes,NIL
24.033340397209354,Male,Single,Self Employeed,25001 to 50000,Post Graduate,1.9358669211758248,12.955766206984023,77.59246175303161,560026.7360174945,Food delivery apps, Direct call,Dinner, Snacks,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Neutral,Disagree,Agree,Maybe,Important,Unimportant,Very Important,Very Important,Important,Important,Important,Very Important,Yes,I need the order to be delivered fast to my location
27.001873492767327,Female,Single,Employee,No Income,Graduate,2.177820691013517,12.884779340103016,77.59905918557894,560075.2588270293,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Disagree,Agree,Neutral,Agree,Yes,Important,Moderately Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Delivery people are working hard. Can't complain
23.014532214098253,Female,Single,Employee,No Income,Graduate,3.0333242393631776,12.936515008228945,77.64152979639877,560091.8925380217,Walk-in, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Disagree,Agree,Strongly Agree,Maybe,Important,Important,Important,Moderately Important,Very Important,Important,Very Important,Important,No,NIL
29.884991888026565,Male,Married,Employee,No Income,Post Graduate,6.012485910642957,12.93693465500606,77.64032100145161,560096.1742044697,Food delivery apps, Direct call,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Yes,Moderately Important,Very Important,Unimportant,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22.003646614731835,Male,Single,Student,10001 to 25000,Graduate,1.9420168615918296,12.934461377254715,77.63950336000791,560093.3158144372,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Maybe,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Neutral,Yes,Unimportant,Moderately Important,Moderately Important,Slightly Important,Important,Very Important,Important,Important,Yes,Love to order online 
28.07409200302288,Female,Married,Self Employeed,Below Rs.10000,Post Graduate,3.0473068056280774,12.933696660912357,77.63660528755118,560095.3756128959,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Maybe,Weekend (Sat & Sun),More than 60 minutes,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Yes,Important,Moderately Important,Very Important,Very Important,Slightly Important,Moderately Important,Important,Important,Yes,Best delivery people working hard for their family. respect them
23.215900613446866,Female,Single,Student,More than 50000,Graduate,1.9611149470274776,13.01934691660983,77.54031876886253,560099.2562692132,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,No,Very Important,Slightly Important,Slightly Important,Important,Important,Moderately Important,Important,Very Important,Yes,TOP RATING TOP RATING RATING FIVE PLUS FIVE PLUS FOUR PLUS FOUR PLUS
30.14271996148484,Male,Single,Student,No Income,Graduate,1.0082419151233692,13.079015966299814,77.55513218626437,560095.5565841785,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Agree,Disagree,Neutral,Disagree,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Strongly Agree,Agree,Agree,Agree,No,Very Important,Important,Important,Very Important,Important,Moderately Important,Important,Moderately Important,Yes,I love food delivery service. They are amazing 
21.320349695883053,Female,Single,Student,No Income,Graduate,3.1729369029400747,13.061894684963852,77.59009600939537,560088.0274980931,Food delivery apps, Walk-in,Snacks, Snacks,Non Veg foods (Lunch / Dinner), Sweets,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Neutral,Agree,Neutral,Yes,Important,Important,Important,Moderately Important,Very Important,Important,Important,Moderately Important,Yes,I need faster delivery.
25.885834311184254,Female,Single,Student,25001 to 50000,Post Graduate,5.993511033988608,12.98110986459213,77.66392490423301,560092.5509789672,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Yes,Important,Very Important,Slightly Important,Important,Important,Important,Very Important,Very Important,Yes,NIL
25.129783544218977,Male,Single,Employee,No Income,Graduate,3.0776348463140537,12.98447865359716,77.67122935009247,560094.7284850873,Direct call, Walk-in,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Disagree,Neutral,No,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,Maybe,Important,Moderately Important,Important,Important,Very Important,Important,Very Important,Very Important,Yes,I'm satisfied with the service of swiggy
31.027277556333406,Male,Single,Student,More than 50000,Post Graduate,1.0,12.983656836461188,77.49495060307105,560094.0745671891,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Neutral,Neutral,Neutral,Yes,Moderately Important,Very Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,No,Nil
23.325798076820124,Male,Married,Student,More than 50000,Post Graduate,1.9976364838369032,12.98835260103552,77.55336560839203,560098.0696311923,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Strongly Agree,Agree,Neutral,Agree,Yes,Important,Slightly Important,Moderately Important,Important,Very Important,Important,Important,Very Important,Yes,NIL
21.879741677723135,Male,Single,Student,No Income,Graduate,4.119619791094167,12.987246300177834,77.55212631583862,560010.7798080628,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Agree,Agree,Agree,Neutral,Yes,Moderately Important,Very Important,Moderately Important,Very Important,Moderately Important,Important,Very Important,Very Important,Yes,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order "
26.87506649247001,Female,Single,Student,No Income,Post Graduate,1.957647593429634,12.928369235409994,77.6832537025914,560102.2694716864,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Agree,Disagree,Strongly Agree,Yes,Very Important,Moderately Important,Moderately Important,Very Important,Slightly Important,Very Important,Important,Very Important,Yes,NIL
21.91082258216777,Female,Single,Self Employeed,25001 to 50000,Graduate,3.1224331601839017,12.98201045882814,77.5785036697122,560008.8336631566,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Disagree,Strongly Agree,Yes,Important,Very Important,Slightly Important,Very Important,Important,Very Important,Very Important,Very Important,No,Nil
23.68400757353546,Female,Single,Student,10001 to 25000,Graduate,3.0478095257941296,12.984983900442263,77.61053644985046,560046.1515673196,Food delivery apps, Walk-in,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Strongly disagree,Disagree,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Disagree,Strongly disagree,Agree,Agree,Agree,Maybe,Important,Important,Very Important,Slightly Important,Very Important,Very Important,Important,Very Important,Yes,I dont have much restaurant choices and takes long time to deliver
22.92177836080874,Male,Single,Student,More than 50000,Graduate,1.9620046679022476,12.975877424790843,77.60007490980892,560001.0,Food delivery apps, Web browser,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Agree,Disagree,Agree,Yes,Important,Important,Important,Important,Important,Moderately Important,Very Important,Very Important,Yes,Nil
22.887056521190186,Female,Married,Student,10001 to 25000,Graduate,4.042719931374435,12.979840165886424,77.71006706115206,560048.3983663042,Food delivery apps, Web browser,Dinner, Snacks,Non Veg foods (Lunch / Dinner), Sweets,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,Strongly disagree,Disagree,Yes,Important,Very Important,Slightly Important,Important,Very Important,Moderately Important,Important,Moderately Important,Yes,I have no issues related to delivery and I prefer four plus rated restaurant
22.02237553236247,Male,Married,Self Employeed,No Income,Graduate,5.065697265830437,12.990096115685235,77.55645039134797,560010.7342691295,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Yes,Anytime (Mon-Sun),More than 60 minutes,Agree,Neutral,Agree,Neutral,Disagree,No,Very Important,Important,Moderately Important,Moderately Important,Moderately Important,Important,Very Important,Moderately Important,Yes,Delivery people are working hard. Can't complain
23.05084632866318,Female,Single,Self Employeed,More than 50000,Graduate,2.042004038333767,12.97390894825197,77.57704283479339,560010.7046632873,Food delivery apps, Walk-in,Breakfast, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Disagree,Strongly Agree,Disagree,Neutral,Strongly disagree,Yes,Important,Very Important,Important,Very Important,Moderately Important,Moderately Important,Important,Very Important,Yes,Food delivery apps are performing well in Bangalore. But poor delivery when it comes to rural places
23.279136008966965,Female,Married,Employee,No Income,Graduate,4.893929362129021,12.895139872302712,77.57587702775679,560078.153831634,Walk-in, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Yes,Anytime (Mon-Sun),More than 60 minutes,Disagree,Disagree,Agree,Agree,Neutral,No,Important,Moderately Important,Moderately Important,Very Important,Slightly Important,Very Important,Important,Very Important,Yes,No
19.915648580028027,Male,Single,Student,10001 to 25000,Graduate,4.118779458753525,12.9740981377408,77.60286959154008,560002.785616884,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Yes,Anytime (Mon-Sun),15 minutes,Neutral,Neutral,Disagree,Agree,Agree,Yes,Slightly Important,Moderately Important,Important,Important,Important,Very Important,Very Important,Very Important,Yes,I need faster delivery.
24.088831049965876,Male,Married,Self Employeed,No Income,Graduate,3.0981084859636656,12.979006188445464,77.5790138948943,560009.322040629,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Agree,Agree,Agree,Disagree,Yes,Moderately Important,Important,Important,Very Important,Slightly Important,Moderately Important,Very Important,Important,Yes,Faster delivery is needed !!
21.865089338894755,Male,Single,Student,25001 to 50000,Post Graduate,3.0089724426592137,12.95445472556354,77.66531597462888,560016.0486771503,Food delivery apps, Direct call,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Disagree,Agree,Agree,Yes,Very Important,Slightly Important,Very Important,Moderately Important,Important,Slightly Important,Important,Important,No,NIL
21.909096989895836,Male,Married,Employee,No Income,Post Graduate,5.930232164024675,12.945236731885661,77.5627541600264,560018.7532634536,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Important,Moderately Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,No,I have no trouble with delivery of startup services
22.108708949272447,Male,Single,Student,10001 to 25000,Graduate,4.00005209780165,12.983969973436375,77.55663570283096,560008.06212211,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Moderately Important,Important,Moderately Important,Important,Very Important,Very Important,Important,Yes,NIL
26.923470642870562,Male,Married,Student,25001 to 50000,Graduate,1.978999039626856,12.932156289599975,77.68359510622895,560102.1685314729,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Agree,Disagree,Neutral,Neutral,Yes,Very Important,Moderately Important,Important,Moderately Important,Very Important,Slightly Important,Very Important,Slightly Important,No,I require the food to be undamaged. Mostly the food is tampered
21.82574478026744,Male,Single,Employee,No Income,Post Graduate,2.9698254362639176,12.97742336709132,77.58237074634518,560009.2499639736,Direct call, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Disagree,Agree,Disagree,Yes,Moderately Important,Very Important,Important,Important,Important,Moderately Important,Moderately Important,Very Important,No,NIL
24.25740600474585,Female,Single,Student,25001 to 50000,Post Graduate,3.013952700081594,12.983417425202362,77.61220722228846,560042.5565139778,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,No,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Agree,Agree,Maybe,Important,Important,Important,Slightly Important,Slightly Important,Important,Very Important,Moderately Important,Yes,"Spillage, bad packaging and missing items "
22.994772875368263,Male,Single,Employee,No Income,Post Graduate,1.995504704942601,12.973997405409238,77.60311568172148,560001.0,Food delivery apps, Direct call,Dinner, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Strongly disagree,Agree,Neutral,Yes,Important,Moderately Important,Slightly Important,Important,Slightly Important,Very Important,Important,Important,Yes,NIL
23.070142467036977,Male,Single,Student,No Income,Graduate,4.047815735292374,12.985694147697846,77.7103901760296,560047.7021667999,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,No,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Strongly Agree,Neutral,Neutral,No,Very Important,Very Important,Very Important,Slightly Important,Important,Moderately Important,Very Important,Very Important,No,NIL
21.66344852353787,Female,Single,Student,25001 to 50000,Graduate,5.048254876257089,12.987218971946195,77.55347118689212,560011.1511990298,Food delivery apps, Web browser,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,No,Weekend (Sat & Sun),30 minutes,Agree,Agree,Strongly Agree,Neutral,Neutral,Yes,Very Important,Important,Moderately Important,Important,Important,Important,Very Important,Very Important,No,I had misplaced order in the past orders
23.198145991735206,Male,Single,Student,10001 to 25000,Post Graduate,1.9957578786871784,12.972989338990544,77.58114042867356,560008.8408411625,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Moderately Important,Important,Moderately Important,Important,Moderately Important,Very Important,Very Important,Yes,Nil
23.39370526568558,Female,Single,Student,Below Rs.10000,Post Graduate,5.02919951859194,12.897934796133251,77.5763692174536,560077.2980377757,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Strongly Agree,Agree,Agree,No,Moderately Important,Very Important,Unimportant,Important,Slightly Important,Important,Very Important,Important,Yes,Nil 
21.184811449621364,Female,Single,Student,10001 to 25000,Graduate,4.089261221341303,12.97838624275303,77.58081359853665,560007.8032085976,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Maybe,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Very Important,Important,Important,Very Important,Important,Yes,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order "
23.20601556001345,Female,Single,Student,No Income,Post Graduate,4.964089719659436,12.94415200832123,77.57477071577077,560001.2249112037,Food delivery apps, Walk-in,Snacks, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Yes,Weekend (Sat & Sun),60 minutes,Strongly disagree,Agree,Neutral,Neutral,Agree,Yes,Important,Important,Very Important,Very Important,Very Important,Important,Important,Important,No,very late deliveries to my house everytime i order
23.939183367093882,Female,Married,Employee,10001 to 25000,Graduate,6.001073567781425,12.887033706585216,77.63893142285309,560069.020359917,Food delivery apps, Direct call,Breakfast, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Maybe,Anytime (Mon-Sun),60 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Maybe,Important,Slightly Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,It serves my hunger on time. But there are times it delays when I needed the most
